node_id,x_coord,y_coord
0,6451073.06,1873444.51
1,6451087.237,1873426.442
2,6451101.414,1873408.375
3,6451115.592,1873390.307
4,6451129.769,1873372.24
5,6451144.918,1873354.988
6,6451160.245,1873337.884
7,6451175.571,1873320.78
8,6451190.897,1873303.677
9,6451206.224,1873286.573
10,6451221.55,1873269.469
11,6451237.677,1873253.126
12,6451253.973,1873236.944
13,6451270.269,1873220.761
14,6451286.564,1873204.578
15,6451302.86,1873188.396
16,6451319.156,1873172.213
17,6451335.452,1873156.03
18,6451351.748,1873139.848
19,6451368.043,1873123.665
20,6451384.339,1873107.482
21,6451400.741,1873091.413
22,6451417.878,1873076.123
23,6451435.015,1873060.834
24,6451452.152,1873045.545
25,6451469.289,1873030.256
26,6451486.425,1873014.966
27,6451503.562,1872999.677
28,6451520.699,1872984.388
29,6451537.836,1872969.098
30,6451554.972,1872953.809
31,6451572.109,1872938.52
32,6451589.246,1872923.23
33,6451606.383,1872907.941
34,6451623.52,1872892.652
35,6451640.656,1872877.363
36,6451657.805,1872862.087
37,6451675.072,1872846.945
38,6451692.339,1872831.803
39,6451709.607,1872816.661
40,6451726.874,1872801.52
41,6451744.141,1872786.378
42,6451761.409,1872771.236
43,6451778.676,1872756.094
44,6451795.943,1872740.953
45,6451813.21,1872725.811
46,6451830.478,1872710.669
47,6451847.745,1872695.527
48,6451865.012,1872680.386
49,6451882.28,1872665.244
50,6451899.547,1872650.102
51,6451916.814,1872634.96
52,6451934.081,1872619.819
53,6451951.349,1872604.677
54,6451968.616,1872589.535
55,6451985.883,1872574.393
56,6452003.151,1872559.252
57,6452020.418,1872544.11
58,6452037.685,1872528.968
59,6452054.952,1872513.826
60,6452072.22,1872498.685
61,6452089.487,1872483.543
62,6452106.754,1872468.401
63,6452124.022,1872453.26
64,6452141.289,1872438.118
65,6452158.556,1872422.976
66,6452175.823,1872407.834
67,6452193.091,1872392.693
68,6452210.358,1872377.551
69,6452227.625,1872362.409
70,6452244.919,1872347.297
71,6452262.228,1872332.203
72,6452279.537,1872317.109
73,6452296.846,1872302.015
74,6452314.155,1872286.922
75,6452331.464,1872271.828
76,6452348.774,1872256.734
77,6452366.083,1872241.64
78,6452383.392,1872226.546
79,6452400.701,1872211.452
80,6452418.01,1872196.358
81,6452435.319,1872181.265
82,6452452.628,1872166.171
83,6452469.938,1872151.077
84,6452487.247,1872135.983
85,6452504.556,1872120.889
86,6452521.865,1872105.795
87,6452539.174,1872090.701
88,6452556.483,1872075.607
89,6452573.99,1872060.748
90,6452591.854,1872046.316
91,6452609.718,1872031.883
92,6452627.582,1872017.45
93,6452645.447,1872003.018
94,6452663.311,1871988.585
95,6452681.175,1871974.153
96,6452699.039,1871959.72
97,6452716.918,1871945.306
98,6452735.329,1871931.578
99,6452753.74,1871917.849
100,6452772.151,1871904.121
101,6452790.561,1871890.392
102,6452808.972,1871876.663
103,6452827.383,1871862.935
104,6452845.794,1871849.206
105,6452864.205,1871835.478
106,6452882.893,1871822.154
107,6452902.346,1871809.947
108,6452921.799,1871797.74
109,6452941.252,1871785.534
110,6452960.706,1871773.327
111,6452980.159,1871761.12
112,6452999.612,1871748.913
113,6453019.065,1871736.707
114,6453038.518,1871724.5
115,6453057.971,1871712.293
116,6453078.461,1871701.945
117,6453099.071,1871691.814
118,6453119.682,1871681.682
119,6453140.292,1871671.551
120,6453160.902,1871661.419
121,6453181.513,1871651.288
122,6453202.123,1871641.157
123,6453222.835,1871631.252
124,6453244.104,1871622.588
125,6453265.373,1871613.925
126,6453286.642,1871605.261
127,6453304.96,1871597.8
128,6451060.93,1873436.15
129,6451074.368,1873417.526
130,6451088.422,1873399.397
131,6451103.695,1873382.246
132,6451118.969,1873365.095
133,6451134.242,1873347.943
134,6451149.515,1873330.792
135,6451164.788,1873313.641
136,6451180.062,1873296.49
137,6451195.782,1873279.753
138,6451211.728,1873263.226
139,6451227.674,1873246.699
140,6451243.621,1873230.172
141,6451259.567,1873213.645
142,6451275.514,1873197.118
143,6451291.46,1873180.591
144,6451307.406,1873164.064
145,6451323.651,1873147.838
146,6451340.347,1873132.069
147,6451357.044,1873116.3
148,6451373.741,1873100.531
149,6451390.437,1873084.763
150,6451407.134,1873068.994
151,6451423.859,1873053.256
152,6451440.958,1873037.925
153,6451458.058,1873022.594
154,6451475.157,1873007.263
155,6451492.256,1872991.932
156,6451509.356,1872976.6
157,6451526.455,1872961.269
158,6451543.666,1872946.064
159,6451560.954,1872930.946
160,6451578.242,1872915.827
161,6451595.529,1872900.709
162,6451612.817,1872885.591
163,6451630.105,1872870.473
164,6451647.393,1872855.354
165,6451664.681,1872840.236
166,6451681.969,1872825.118
167,6451699.257,1872810
168,6451716.544,1872794.881
169,6451733.832,1872779.763
170,6451751.12,1872764.645
171,6451768.408,1872749.527
172,6451785.696,1872734.408
173,6451802.984,1872719.29
174,6451820.272,1872704.172
175,6451837.56,1872689.054
176,6451854.847,1872673.936
177,6451872.135,1872658.817
178,6451889.423,1872643.699
179,6451906.711,1872628.581
180,6451923.999,1872613.463
181,6451941.287,1872598.344
182,6451958.575,1872583.226
183,6451975.853,1872568.098
184,6451993.111,1872552.944
185,6452010.368,1872537.791
186,6452027.625,1872522.638
187,6452044.883,1872507.485
188,6452062.14,1872492.332
189,6452079.397,1872477.179
190,6452096.654,1872462.025
191,6452113.912,1872446.872
192,6452131.169,1872431.719
193,6452148.426,1872416.566
194,6452165.683,1872401.413
195,6452182.941,1872386.26
196,6452200.268,1872371.187
197,6452217.652,1872356.18
198,6452235.037,1872341.173
199,6452252.422,1872326.166
200,6452269.806,1872311.159
201,6452287.191,1872296.152
202,6452304.575,1872281.145
203,6452321.96,1872266.138
204,6452339.344,1872251.131
205,6452356.599,1872235.974
206,6452373.844,1872220.808
207,6452391.09,1872205.642
208,6452408.335,1872190.475
209,6452425.581,1872175.309
210,6452442.827,1872160.142
211,6452460.072,1872144.976
212,6452477.318,1872129.81
213,6452494.563,1872114.643
214,6452511.809,1872099.477
215,6452529.273,1872084.564
216,6452546.874,1872069.813
217,6452564.476,1872055.061
218,6452582.078,1872040.309
219,6452599.679,1872025.557
