agent_id,from_origin_node_id,to_destination_node_id,departure_time_interval_no,PCE
0,133,96,2.0,1
1,390,610,4425.0,1
2,389,481,8931.0,1
3,650,610,60.0,1
4,133,224,4401.0,1
5,650,354,9067.0,1
6,390,481,0.0,1
7,4,96,4316.0,1
8,519,610,8967.0,1
9,650,611,66.0,1
10,519,481,4460.0,1
11,261,352,8942.0,1
12,389,610,10.0,1
13,133,224,4438.0,1
14,519,690,8975.0,1
15,262,483,18.0,1
16,5,96,4354.0,1
17,518,224,8931.0,1
18,5,96,15.0,1
19,389,610,4435.0,1
20,133,224,8957.0,1
21,5,98,21.0,1
22,5,96,4375.0,1
23,261,224,8951.0,1
24,133,224,7.0,1
25,133,224,4443.0,1
26,519,690,8985.0,1
27,519,609,12.0,1
28,390,481,4450.0,1
29,5,96,8908.0,1
30,519,689,19.0,1
31,134,224,4472.0,1
32,261,352,8958.0,1
33,262,354,31.0,1
34,388,610,4454.0,1
35,650,610,9090.0,1
36,390,480,22.0,1
37,519,610,4501.0,1
38,262,353,8975.0,1
39,133,226,14.0,1
40,132,353,4484.0,1
41,133,224,8975.0,1
42,5,96,28.0,1
43,5,96,4475.0,1
44,517,610,8992.0,1
45,390,480,34.0,1
46,516,610,4504.0,1
47,390,480,8986.0,1
48,133,353,22.0,1
49,389,610,4482.0,1
50,260,352,8984.0,1
51,5,96,41.0,1
52,260,352,4475.0,1
53,132,224,8984.0,1
54,519,610,27.0,1
55,516,480,4514.0,1
56,390,480,9001.0,1
57,133,353,28.0,1
58,261,352,4508.0,1
59,5,96,8948.0,1
60,650,609,91.0,1
61,133,224,4524.0,1
62,519,610,9023.0,1
63,389,481,39.0,1
64,389,480,4498.0,1
65,261,352,9006.0,1
66,519,690,35.0,1
67,4,96,4495.0,1
68,648,352,9126.0,1
69,262,353,56.0,1
70,518,480,4534.0,1
71,390,481,9008.0,1
72,5,96,46.0,1
73,261,353,4521.0,1
74,389,352,9015.0,1
75,390,352,48.0,1
76,133,224,4546.0,1
77,261,352,9016.0,1
78,650,483,97.0,1
79,389,481,4533.0,1
80,519,610,9048.0,1
81,5,96,52.0,1
82,519,610,4555.0,1
83,5,224,8995.0,1
84,5,352,60.0,1
85,261,610,4537.0,1
86,389,610,9022.0,1
87,261,352,49.0,1
88,3,96,4532.0,1
89,5,96,8984.0,1
90,519,611,42.0,1
91,649,224,4628.0,1
92,390,610,9036.0,1
93,261,353,65.0,1
94,5,353,4568.0,1
95,519,610,9064.0,1
96,390,352,59.0,1
97,261,352,4549.0,1
98,261,352,9049.0,1
99,519,692,52.0,1
100,132,96,4574.0,1
101,519,689,9073.0,1
102,5,96,67.0,1
103,389,610,4554.0,1
104,133,224,9038.0,1
105,389,480,64.0,1
106,518,610,4560.0,1
107,5,96,9028.0,1
108,133,96,59.0,1
109,519,610,4576.0,1
110,262,352,9063.0,1
111,261,354,71.0,1
112,389,481,4570.0,1
113,650,224,9167.0,1
114,5,96,77.0,1
115,5,96,4562.0,1
116,390,610,9056.0,1
117,519,610,59.0,1
118,5,96,4573.0,1
119,132,96,9107.0,1
120,390,483,71.0,1
121,259,481,4561.0,1
122,5,96,9055.0,1
123,650,480,140.0,1
124,389,610,4587.0,1
125,133,224,9058.0,1
126,261,224,77.0,1
127,519,609,4589.0,1
128,261,352,9078.0,1
129,261,352,83.0,1
130,387,224,4595.0,1
131,519,610,9091.0,1
132,133,96,81.0,1
133,389,481,4594.0,1
134,133,224,9081.0,1
135,133,224,70.0,1
136,132,481,4588.0,1
137,519,610,9101.0,1
138,5,96,83.0,1
139,5,96,4605.0,1
140,389,224,9085.0,1
141,389,612,85.0,1
142,130,224,4609.0,1
143,519,610,9107.0,1
144,519,690,67.0,1
145,389,481,4611.0,1
146,519,690,9118.0,1
147,519,610,73.0,1
148,519,610,4609.0,1
149,5,96,9084.0,1
150,261,225,90.0,1
151,133,352,4613.0,1
152,260,352,9096.0,1
153,5,96,93.0,1
154,390,481,4621.0,1
155,133,224,9092.0,1
